,Cloud,Area,GLON,GLAT,theta,WCO,Vcent,Rmax,Rmin,Rang,Rgal,INF,Dnear,Dfar,Rnear,Rfar,Mnear,Mfar,_RA.icrs,_DE.icrs,phyD,Md2
2796,2797,2.5,106.3923,0.984471,12.0628,342.33,-12.6288,1.11177,0.596107,0.733761,9.20318,0,1.86793,1.86793,23.9231,23.9231,24792.5,24792.5,338.845014,59.414594,1.1231583209591531,7105.57335959393
3398,3399,2.01562,94.4183,-0.073729,14.319,340.231,-43.777,1.08552,0.503894,0.650787,10.8811,0,6.16996,6.16996,70.0837,70.0837,268838.0,268838.0,322.948174,51.39338,5.42608870371983,7061.971472194352
2919,2920,1.73438,107.1787,1.246904,-8.16841,332.658,1.34945,0.816481,0.465205,0.561149,8.5736,0,0.238947,0.238947,2.3403,2.3403,394.234,394.234,339.948203,60.029174,0.5129831384180419,6904.796952616778
3357,3358,1.75,105.638,0.288596,-28.0144,303.624,-52.7094,0.794053,0.470116,0.559869,11.624,0,5.96213,5.96213,58.2611,58.2611,224022.0,224022.0,338.257272,58.434227,5.21487644764699,6302.136240753227
3339,3340,1.79688,109.8166,2.047253,-32.4516,300.723,-60.766,0.956307,0.521386,0.638223,12.3888,0,6.5849,6.5849,73.3528,73.3528,270656.0,270656.0,344.031608,61.946545,5.844609267059856,6241.935707102366
3696,3697,1.14062,93.83348,0.554904,-5.5701,295.142,-0.593193,0.60001,0.531308,0.553287,8.65522,0,1.1597,1.1597,11.1992,11.1992,8239.01,8239.01,321.574065,51.447579,0.42682270510423176,6126.094835506077
3672,3673,0.640625,107.3885,4.358292,2.55987,274.598,-7.29762,0.936426,0.743158,0.802685,8.95361,0,1.25416,1.25416,17.5713,17.5713,8965.11,8965.11,337.054409,62.824454,0.517676424298755,5699.670267522551
3663,3664,0.265625,93.10062,3.165869,-23.609,271.094,-4.13615,0.803913,0.457318,0.551927,8.80304,0,1.87868,1.87868,18.0978,18.0978,19859.9,19859.9,317.706176,52.755811,1.1415893918140145,5626.928975081509
4748,4749,1.75,103.1752,1.735503,2.72118,269.964,-5.34472,0.966561,0.698302,0.778225,8.86074,0,1.22801,1.22801,16.6806,16.6806,8450.07,8450.07,332.812636,58.323405,0.4792658947191397,5603.4628871335135
4543,4544,2.625,95.0714,-0.693373,9.19804,266.394,-18.0151,1.45915,0.690151,0.885788,9.4368,0,3.41634,3.41634,52.8206,52.8206,64535.6,64535.6,324.390424,51.375353,2.6723117026394365,5529.389459834122
3740,3741,1.6875,94.61055,0.050557,3.33428,259.414,0.715159,0.682036,0.571278,0.606039,8.60168,0,0.801921,0.801921,8.48254,8.48254,3462.65,3462.65,323.038647,51.615271,0.10397193076036929,5384.500514241974
4301,4302,2.03125,102.8964,-0.46666,15.8778,251.656,-42.6452,0.999417,0.738409,0.816796,10.8708,0,5.14039,5.14039,73.2852,73.2852,138023.0,138023.0,334.676518,56.3445,4.391197588860334,5223.472621049429
4288,4289,1.4375,107.2989,-0.070895,26.4696,249.334,-52.0199,0.771335,0.452817,0.540791,11.6057,0,5.76887,5.76887,54.4516,54.4516,172233.0,172233.0,341.386978,58.925875,5.024049958457615,5175.292036286452
1752,1753,0.515625,110.4022,-1.108914,12.1122,247.178,-42.3824,0.386471,0.309963,0.333615,10.9656,0,4.57253,4.57253,26.6246,26.6246,107269.0,107269.0,347.722409,59.294629,3.8349313168882526,5130.516692250418
4645,4646,1.65625,107.472,1.559164,3.02408,243.819,-12.8475,0.812976,0.697558,0.734085,9.21719,0,1.83264,1.83264,23.4814,23.4814,16997.0,16997.0,340.162227,60.444134,1.0903267780719317,5060.785748196207
