,Cluster,Age,Mc,Mdotc,Lwc,k,Mmin*,Mmax*,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,l,b
101,Gulliver_29,10.7,1590.8,1.33e-07,3.1e+35,21921.7,1.35,5.18,256.745,-35.205,0.679,342,1.325,-2.206,0.905,NN,7.03,1.02,10.36,1180.0,1161.0,-199.0,67.0,7181.0,Cl Gulliver 29,256.745,-35.205,350.2295347931574,3.2799470687243546
102,Gulliver_46,11.7,698.8,4.74e-08,1.08e+35,9695.9,2.66,13.71,186.234,-61.973,0.024,64,-6.946,0.125,0.181,NN,7.07,2.67,13.31,4587.0,2281.0,-3979.0,59.0,7248.0,Cl Gulliver 46,186.2341,-61.973,299.8238403570917,0.73871249532511
103,Gulliver_48,18.2,640.0,1.71e-08,3.5100000000000004e+34,9178.5,1.96,3.22,316.334,50.733,0.28,98,-4.781,-6.671,1.058,NN,7.26,2.87,10.09,1042.0,-18.0,1041.0,44.0,8423.0,Cl Gulliver 48,316.334,50.733,91.03287191222056,2.425772982728676
104,Gulliver_6,16.6,353.0,1.14e-08,2.39e+34,5027.1,0.99,4.65,83.278,-1.652,0.517,318,-0.007,-0.207,2.367,NN,7.22,0.25,8.03,403.0,-346.0,-163.0,-125.0,8688.0,Cl Gulliver 6,83.278,-1.652,205.24579147582318,-18.137495566467205
105,Gulliver_8,21.4,102.7,9.51e-10,1.72e+33,1534.7,1.24,5.89,80.56,33.792,0.102,29,-0.156,-2.982,0.872,NN,7.33,0.52,10.28,1137.0,-1128.0,134.0,-30.0,9469.0,Cl Gulliver 8,80.56,33.792,173.2132198243119,-1.5497024851538008
106,Gulliver_9,17.8,276.3,7.73e-09,1.6000000000000001e+34,3956.0,0.45,5.05,126.998,-47.929,0.969,252,-5.992,6.915,1.985,manual,7.25,0.42,8.74,559.0,-48.0,-555.0,-52.0,8406.0,Cl Gulliver 9,126.998,-47.929,265.0368942452663,-5.429164230520957
107,Haffner_13,20.4,231.6,4.9e-09,9.789999999999999e+33,3350.8,0.42,5.23,115.209,-30.073,0.327,197,-6.184,5.879,1.742,NN,7.31,0.0,8.75,562.0,-236.0,-508.0,-35.0,8591.0,Cl Haffner 13,115.209,-30.073,245.03560456299167,-3.6563374486211115
108,Haffner_15,25.7,1233.1,1.65e-08,3.12e+34,18158.1,2.01,9.57,116.38,-32.846,0.031,151,-2.154,3.289,0.238,NN,7.41,3.13,12.91,3811.0,-1427.0,-3523.0,-276.0,10383.0,Cl Haffner 15,116.38,-32.846,247.94671065118413,-4.158089330738898
109,Haffner_18,14.1,702.3,3.18e-08,6.94e+34,9880.4,2.83,6.19,118.168,-26.387,0.032,62,-2.548,2.67,0.185,NN,7.15,1.52,13.53,5083.0,-2295.0,-4535.0,39.0,11561.0,Cl Haffner 18,118.168,-26.387,243.15705416310652,0.4490130636832414
110,Havlen_Moffat_1,8.9,666.1,8.57e-08,2.1e+35,9054.4,4.24,11.11,259.752,-38.817,0.019,25,-1.047,-2.552,0.211,tooRed,,,,,,,,,Cl HM 1,259.752,-38.817,348.7152790832133,-0.7839930207271854
