Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.)
 1LHAASO J1843-0335u , KM2A ,280.91,-3.6,0.04,0.36,0.01,1892.2,6.19,0.2,3.44,0.06,295.8,   HESS J1843-033        (0.06) 
 1LHAASO J1843-0335u  , WCDA ,281.01,-3.5,0.06,0.4,0.02,1162.8,9.01,0.43,2.58,0.03, ,  
1LHAASO J1848-0153u , WCDA*,282.06,-1.89,0.1,0.51,0.03,571.2,7.05,0.4,2.65,0.04, ,   HESS J1848-018        (0.11)
1LHAASO J1848-0153u  , KM2A* ,282.02,-1.78,0.11,0.56,0.03,542.9,3.29,0.17,3.69,0.1,36, 
 1LHAASO J1848-0001u , KM2A ,282.19,-0.02,0.04,0,0.09,655.4,1.64,0.1,2.75,0.07,316.8,   IGR J18490-0000       (0.08) 
 1LHAASO J1848-0001u  , WCDA , , , , , , ,0,0.95, , , ,
1LHAASO J1850-0004u* , WCDA ,282.74,-0.07,0.08,0.46,0.02,800.9,5.3,0.32,2.49,0.04, ,   HESS J1852-000        (0.36)
1LHAASO J1850-0004u*  , KM2A ,282.89,-0.07,0.07,0.21,0.03,349.7,1.86,0.12,3.15,0.09,102, 
 1LHAASO J1852+0050u* , KM2A* ,283.1,0.84,0.26,0.85,0.06,275.6,3.22,0.22,3.64,0.12,22.1,   2HWC J1852+013*       (0.55) 
 1LHAASO J1852+0050u*  , WCDA ,283.73,1.4,0.2,0.64,0.07,231,4.67,0.7,2.74,0.06, ,  
1LHAASO J1857+0245 , WCDA ,284.37,2.75,0.11,0.24,0.04,361,4.04,0.57,2.93,0.07, ,   HESS J1857+026        (0.11)
1LHAASO J1857+0245  , KM2A , , , , , , ,0,0.32, , , ,
 1LHAASO J1857+0203u , KM2A ,284.38,2.06,0.07,0.28,0.03,475.2,1.78,0.1,3.31,0.1,112.4,   HESS J1858+020        (0.21) 
 1LHAASO J1857+0203u  , WCDA ,284.5,1.98,0.11,0.19,0.03,187.7,1.68,0.43,2.46,0.11, ,  
 1LHAASO J1858+0330 , KM2A* ,284.59,3.51,0.12,0.43,0.04,299.3,1.56,0.1,3.78,0.15,  ,  
 1LHAASO J1858+0330  , WCDA ,284.79,3.7,0.34,0.52,0.08,114.5,2.84,0.63,2.63,0.1, ,  
1LHAASO J1902+0648 , WCDA ,285.58,6.8,0.1,0,0.15,46.2,0.45,0.13,2.39,0.18, , 
1LHAASO J1902+0648  , KM2A , , , , , , ,0,0.06, , , ,
1LHAASO J1905+0630, WCDA, 286.1608, 6.1837, 0.25, 3.00255, 0.33373, 330.54, 2.17169, 0.20953, 2.65723, 0.05916, , EXT>2 WCDA1
1LHAASO J1905+0630, KM2A, 286.40, 6.5, 0.076, 1.5866, 0.0611, 724.6, 7.899, 0.321, 3.3454, 0.0626, 693.7, EXT>2 KM2A1
1LHAASO J1906+0712 , WCDA ,286.56,7.2,0.21,0.21,0.05,57.8,1.01,0.25,2.72,0.15, , 
1LHAASO J1906+0712  , KM2A , , , , , , ,0,0.19, , , ,
1LHAASO J1907+0826 , WCDA* ,286.96,8.44,0.31,0.43,0.08,51.8,1.34,0.29,2.62,0.14, ,   2HWC J1907+084*       (0.18)
1LHAASO J1907+0826  , KM2A , , , , , , ,0,0.29, , , ,
 1LHAASO J1908+0615u , KM2A ,287.05,6.26,0.03,0.36,0.01,3410.6,6.86,0.16,2.82,0.03,912,   MGRO J1908+06         (0.07) 
 1LHAASO J1908+0615u  , WCDA ,287.05,6.26,0.05,0.43,0.02,2070.2,7.97,0.54,2.42,0.03, ,  
 1LHAASO J1910+0516* , KM2A ,287.55,5.28,0.15,0,0.3,74,0.57,0.08,3.15,0.18, ,   SS 433 w1             (0.26) 
 1LHAASO J1910+0516*  , WCDA ,287.88,5.07,0.38,0.29,0.09,36,0.86,0.29,2.54,0.15, , 
1LHAASO J1912+1014u , WCDA ,288.22,10.25,0.08,0.36,0.03,585.6,3.07,0.24,2.68,0.06, ,   HESS J1912+101        (0.10)
1LHAASO J1912+1014u  , KM2A* ,288.38,10.5,0.13,0.5,0.04,346,1.52,0.1,3.26,0.11,68.9, 
 1LHAASO J1913+0501 , KM2A ,288.28,5.03,0.11,0,0.1,96,0.45,0.06,3.3,0.18, ,   SS 433 e1             (0.15) 
 1LHAASO J1913+0501  , WCDA , , , , , , ,0,0.37, , , ,
 1LHAASO J1914+1150u , KM2A* ,288.73,11.84,0.09,0.21,0.04,259.2,0.79,0.06,3.41,0.13,26,   2HWC J1914+117*       (0.13) 
 1LHAASO J1914+1150u  , WCDA* ,288.81,11.74,0.14,0.33,0.04,151.3,1.09,0.12,2.34,0.07, ,  
 1LHAASO J1919+1556 , KM2A ,289.78,15.93,0.32,0,0.44,37.2,0.24,0.04,4.71,0.53,  ,  3HWC J1918+159(0.09) 
 1LHAASO J1919+1556  , WCDA , , , , , , ,0,0.03, , , ,
1LHAASO J1922+1403 , WCDA ,290.7,14.06,0.07,0.18,0.02,256,1.37,0.1,2.62,0.07, ,   W 51                  (0.13)
1LHAASO J1922+1403  , KM2A ,290.73,14.11,0.07,0,0.1,158.8,0.45,0.04,3.79,0.2,14.4, 
1LHAASO J1924+1609 , WCDA* ,291.09,16.15,0.43,1.45,0.11,169,4.44,0.41,2.54,0.08, ,  3HWC J1923+169(0.86)
1LHAASO J1924+1609  , KM2A* ,290.53,15.71,0.5,1.22,0.2,68.9,1.35,0.17,3.61,0.22,  , 
 1LHAASO J1928+1813u , KM2A ,292.07,18.23,0.14,0.63,0.03,306.2,2.48,0.16,3.24,0.08,44.9,   2HWC J1928+177        (0.46)
 1LHAASO J1928+1813u  , WCDA , , , , , , ,0,0.48, , , ,
1LHAASO J1928+1746u , WCDA ,292.14,17.78,0.07,0.17,0.02,196,0.79,0.05,2.22,0.05, ,   2HWC J1928+177        (0.01)
1LHAASO J1928+1746u  , KM2A ,292.17,17.89,0.07,0,0.16,127.7,0.72,0.07,3.1,0.12,44.9, 
1LHAASO J1929+1846u* , WCDA ,292.34,18.77,0.1,0.49,0.02,416.2,2.48,0.11,2.37,0.04, ,   SNR G054.1+00.3       (0.29)
1LHAASO J1929+1846u*  , KM2A ,292.04,18.97,0.08,0,0.21,130,0.64,0.06,3.11,0.12,26, 
 1LHAASO J1931+1653 , KM2A ,292.79,16.9,0.11,0,0.1,51.8,0.22,0.04,3.15,0.25,  , 
 1LHAASO J1931+1653  , WCDA , , , , , , ,0,0.31, , , ,
 1LHAASO J1937+2128 , KM2A* ,294.32,21.48,0.51,1.43,0.15,134.6,1.87,0.17,3.4,0.15,  ,  3HWC J1935+213(0.36) 
 1LHAASO J1937+2128  , WCDA* ,294.3,21,0.81,1.25,0.23,65.6,2.08,0.59,2.43,0.16, ,  
1LHAASO J1945+2424* , WCDA ,296.36,24.4,0.37,1.29,0.11,262.4,4.27,0.51,2.56,0.08, ,   2HWC J1949+244        (0.97)
1LHAASO J1945+2424*  , KM2A ,297.42,23.97,0.2,0.36,0.06,72.2,0.4,0.05,3.93,0.3,  , 
 1LHAASO J1951+2608 , KM2A* ,297.94,26.15,0.42,1,0.11,100,1.13,0.12,3.43,0.17,  ,  3HWC J1951+266(0.47)
 1LHAASO J1951+2608  , WCDA , , , , , , ,0,0.48, , , ,
1LHAASO J1952+2922 , WCDA ,298.05,29.38,0.07,0,0.12,104,0.55,0.05,2.52,0.1, ,   2HWC J1953+294        (0.21)
1LHAASO J1952+2922  , KM2A , , , , , , ,0,0.09, , , ,
 1LHAASO J1954+2836u , KM2A ,298.55,28.6,0.07,0,0.12,123.2,0.42,0.05,2.92,0.14,44.9,   2HWC J1955+285        (0.24)
 1LHAASO J1954+2836u  , WCDA ,298.5,28.57,0.07,0,0.11,75.7,0.34,0.04,2.22,0.09, ,
1LHAASO J1954+3253 , WCDA ,298.63,32.88,0.09,0.17,0.03,144,0.62,0.06,2.45,0.09, , 
1LHAASO J1954+3253  , KM2A , , , , , , ,0,0.04, , , ,
1LHAASO J1956+2921 , WCDA ,299.24,29.35,0.38,0.99,0.07,161.3,1.47,0.16,2.03,0.06, ,   LHAASO J1956+2845     (0.63)
1LHAASO J1956+2921  , KM2A ,298.84,28.92,0.23,0.78,0.05,151.3,1.62,0.14,3.42,0.12,  , 
 1LHAASO J1959+2846u , KM2A ,299.78,28.78,0.09,0.29,0.03,213.2,0.84,0.07,2.9,0.1,74,
 1LHAASO J1959+2846u  , WCDA , , , , , , ,0,0.38, , , ,
 1LHAASO J1959+1129u , KM2A ,299.82,11.49,0.1,0,0.21,94.1,0.27,0.04,2.69,0.17,60.8, 
 1LHAASO J1959+1129u  , WCDA , , , , , , ,0,0.11, , , ,
1LHAASO J2002+3244u , WCDA ,300.64,32.74,0.09,0,0.16,74,0.34,0.06,2.21,0.11, , 
1LHAASO J2002+3244u  , KM2A ,300.6,32.64,0.11,0,0.08,43.6,0.15,0.03,2.7,0.22,28.1, 
1LHAASO J2005+3415* , WCDA ,301.3,34.25,0.16,0.74,0.04,388.1,3.53,0.21,2.58,0.05, ,   2HWC J2006+341        (0.22)
1LHAASO J2005+3415*  , KM2A ,301.81,33.87,0.15,0.33,0.05,127.7,0.56,0.05,3.79,0.21,  , 
 1LHAASO J2005+3050 , KM2A ,301.45,30.85,0.13,0.27,0.05,110.2,0.46,0.05,3.62,0.21, ,  3HWC J2005+311(0.32) 
 1LHAASO J2005+3050  , WCDA ,301.37,30.99,0.13,0.21,0.04,60.8,0.29,0.05,1.99,0.1, ,  
 1LHAASO J2004+3252,  WCDA, 303.0376, 34.6997, 0.6, 6.07257, 0.47090, 103.71, 1.45430, 0.09354, 2.64693, 0.06931, ,  ext>2 WCDA2
 1LHAASO J2004+3252 , KM2A, 301.1, 32.87, 0.4, 2.31, 0.168, 148.5, 3.3, 0.3, 2.316, 0.17, 148.5, ext>2 KM2A2
 1LHAASO J2018+3643u , KM2A ,304.65,36.72,0.04,0.24,0.01,2362,3.93,0.11,3.46,0.05,139.2,   MGRO J2019+37         (0.11) 
 1LHAASO J2018+3643u  , WCDA ,304.61,36.75,0.03,0.26,0.01,1608,2.19,0.06,1.94,0.02, ,  
1LHAASO J2020+4034 , WCDA ,305.03,40.57,0.08,0.38,0.03,458,2.36,0.16,2.91,0.06, ,   VER J2019+407         (0.19)
1LHAASO J2020+4034  , KM2A ,305.2,40.43,0.14,0,0.3,70.6,0.35,0.05,3.56,0.23,  , 
1LHAASO J2020+3638 , WCDA ,305.14,36.63,0.34,1.27,0.11,88.4,3.59,0.43,2.62,0.09, ,   VER J2019+368         (0.28)
1LHAASO J2020+3638  , KM2A , , , , , , ,0,0.18, , , ,
 1LHAASO J2020+3649u , KM2A ,305.23,36.82,0.04,0.12,0.02,912,2.29,0.09,3.31,0.06,86.5,   VER J2019+368         (0.30) 
 1LHAASO J2020+3649u  , WCDA ,305.25,36.91,0.18,0.15,0.02,357.2,0.55,0.16,1.78,0.18, ,  
 1LHAASO J2027+3657 , KM2A ,306.88,36.95,0.23,0.38,0.05,84.6,0.5,0.06,3.21,0.17,  ,
 1LHAASO J2027+3657  , WCDA , , , , , , ,0,0.29, , , ,
 1LHAASO J2028+4052 , WCDA, 307.5489, 41.5790, 0.18, 2.43805, 0.12086, 521.64, 1.51514, 0.13625, 2.60373, 0.04413, , ext>2 WCDA3
1LHAASO J2028+4052, KM2A, 307.17, 40.87, 0.13, 2.72, 0.06, 1081.3, 10.484, 0.3, 3.1741, 0.0461, 1081.3, ext>2 KM2A3
 1LHAASO J2028+3352 , KM2A ,307.21,33.88,0.86,1.7,0.23,75.7,1.61,0.19,3.38,0.19,  ,
 1LHAASO J2028+3352  , WCDA , , , , , , ,0,0.77, , , ,
1LHAASO J2031+4052u* , WCDA ,307.9,40.88,0.19,0.25,0.05,57.8,0.77,0.12,2.81,0.16, ,   LHAASO J2032+4102     (0.20)
1LHAASO J2031+4052u*  , KM2A ,308.14,40.88,0.13,0,0.08,33.6,0.08,0.02,2.13,0.27,38.4, 
 1LHAASO J2031+4127u , KM2A ,307.95,41.46,0.03,0.22,0.01,1953.6,2.56,0.08,3.45,0.06,136.9,   PSR J2032+4127        (0.07) 
 1LHAASO J2031+4127u  , WCDA ,307.85,41.6,0.04,0.27,0.01,1521,3.07,0.12,2.29,0.03, ,  
 1LHAASO J2047+4434 , KM2A* ,311.92,44.58,0.23,0.42,0.09,62.4,0.46,0.06,3.17,0.2,  ,
 1LHAASO J2047+4434  , WCDA , , , , , , ,0,0.33, , , ,
 1LHAASO J2108+5153u , KM2A ,317.1,51.9,0.04,0.19,0.02,942.5,1.38,0.07,2.97,0.07,252.8,   LHAASO J2108+5157     (0.06) 
 1LHAASO J2108+5153u  , WCDA* ,316.83,51.95,0.09,0.14,0.03,81,0.08,0.02,1.44,0.08, ,  
 1LHAASO ext2WCDA4, WCDA, 323.5994, 57.0637, 0.9, 4.37394, 0.70871, 64.05, 1.23954, 0.34224, 2.67879, 0.16870, ,
 1LHAASO ext2WCDA4, KM2A, , , , , , , , , , , ,
